attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
0,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0545,0.2202,-0.0007,88.9617
1,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1149,0.2126,-0.0092,30.2035
2,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0368,0.2243,0.0005,82.4013
3,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0446,0.2083,-0.0001,89.7091
4,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2224,0.2201,-0.113,86.7009
5,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1934,0.2289,-0.0878,83.4501
6,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2014,0.2293,-0.0892,87.1276
7,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0169,0.231,-0.0003,89.3984
8,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1118,0.2098,-0.0052,86.1915
9,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1288,0.2111,-0.0231,61.2776
10,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1603,0.2078,-0.0527,86.4661
11,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1401,0.2185,-0.0325,86.6878
12,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1096,0.2375,-0.0043,88.9965
13,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0253,0.2338,-0.0012,88.667
14,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1602,0.2066,-0.0545,68.5368
15,0,0.0,spawn,0.00992,0.0098,0.00156,0.00992,0.0006,-2.08,0.25,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0177,0.2391,-0.0003,89.3118
0,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0468,0.2225,-0.0007,88.8652
1,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1085,0.213,-0.002,65.0003
2,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.03,0.2249,0.0013,78.7588
3,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0377,0.2097,0.0002,89.4423
4,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2159,0.2227,-0.1056,82.3702
5,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1866,0.231,-0.0802,79.698
6,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1948,0.2315,-0.0816,83.7854
7,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0093,0.2327,-0.0001,89.8765
8,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1059,0.2102,0.002,80.5416
9,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1225,0.2118,-0.0159,46.3664
10,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1543,0.2092,-0.0456,81.5478
11,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.134,0.2194,-0.0251,82.3254
12,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1023,0.2381,0.0008,86.909
13,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0167,0.237,-0.0016,88.144
14,1,0.02,spawn,0.02351,0.02307,0.00452,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1539,0.208,-0.0474,71.5738
15,1,0.02,spawn,0.02351,0.02307,0.00451,0.02351,0.0012,-3.83,0.71,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0099,0.2409,-0.0002,89.6808
0,2,0.04,spawn,0.03201,0.03089,0.00839,0.03201,0.0018,-3.85,1.34,0.3464,0.0028,0.173,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0425,0.2187,0.0006,89.1154
