attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
0,0,0.0,spawn,0.0124,0.01236,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0699,0.2195,-0.0156,63.7628
1,0,0.0,spawn,0.0124,0.01236,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1302,0.2147,-0.0389,18.5965
2,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0524,0.2269,-0.0139,4.2977
3,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0596,0.2091,-0.0149,47.9292
4,0,0.0,spawn,0.0124,0.01236,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2396,0.2188,-0.1425,71.8036
5,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2091,0.2284,-0.1176,2.2985
6,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2199,0.2288,-0.119,78.3021
7,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0326,0.2313,-0.015,54.2344
8,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1276,0.2121,-0.0348,65.3174
9,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1442,0.2128,-0.0527,24.8453
10,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1764,0.2085,-0.0821,68.654
11,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1567,0.2198,-0.0622,71.6206
12,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1256,0.2397,-0.0347,27.4324
13,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0414,0.2316,-0.0162,70.4275
14,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1753,0.2073,-0.0838,13.9999
15,0,0.0,spawn,0.0124,0.01237,0.00088,0.0113,0.0006,-2.88,5.26,0.3504,0.0009,-0.085,1.728,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0337,0.2392,-0.015,56.0722
0,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0783,0.2163,-0.0266,46.1196
1,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1387,0.2128,-0.0577,14.0373
2,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.061,0.2255,-0.0247,6.4366
3,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0679,0.2067,-0.0258,27.6767
4,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.249,0.2156,-0.1601,57.9928
5,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2177,0.2255,-0.1356,5.389
6,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2299,0.2259,-0.137,67.601
7,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0412,0.2287,-0.0258,34.1994
8,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1363,0.2102,-0.0536,49.7503
9,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1526,0.2107,-0.0713,17.5372
10,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1853,0.2061,-0.1004,53.8288
11,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1658,0.2176,-0.0808,57.7423
12,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1342,0.2379,-0.0538,11.5268
13,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0501,0.2276,-0.0272,56.1728
14,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1836,0.2048,-0.1021,11.5522
15,1,0.02,spawn,0.02291,0.02273,0.00284,0.0212,0.0012,-3.44,10.07,0.35,0.0017,-0.093,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0423,0.2364,-0.0258,36.2911
0,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0813,0.2131,-0.0398,36.0059
1,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1407,0.2102,-0.0731,8.8591
2,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.063,0.2229,-0.0387,3.781
3,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0704,0.2039,-0.0394,19.9745
4,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2502,0.2133,-0.1734,44.7707
5,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2198,0.2231,-0.1494,3.0864
6,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2307,0.2235,-0.1507,55.6852
7,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0438,0.2257,-0.0393,25.2317
8,2,0.04,spawn,0.02184,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1378,0.2077,-0.0691,36.5571
9,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1546,0.2082,-0.0864,11.2391
10,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1867,0.2036,-0.1149,40.4991
11,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1671,0.2151,-0.0957,44.5066
12,2,0.04,spawn,0.02185,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1365,0.2353,-0.0692,8.2388
13,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0534,0.2241,-0.0401,46.6142
14,2,0.04,spawn,0.02185,0.02181,0.00129,0.0196,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1857,0.2023,-0.1165,7.1879
15,2,0.04,spawn,0.02184,0.02181,0.00129,0.01959,0.0018,-1.93,15.31,0.3484,0.0024,-0.116,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.045,0.2334,-0.0393,27.0035
0,3,0.06,spawn,0.0198,0.01933,-0.00427,0.01698,0.0024,-0.1,20.77,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.083,0.2132,-0.0547,29.3331
1,3,0.06,spawn,0.01981,0.01935,-0.00428,0.017,0.0024,-0.1,20.78,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1413,0.2108,-0.0886,6.1695
2,3,0.06,spawn,0.0198,0.01933,-0.00427,0.01698,0.0024,-0.1,20.78,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0637,0.2233,-0.0547,2.3825
3,3,0.06,spawn,0.0198,0.01933,-0.00427,0.01698,0.0024,-0.1,20.77,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0717,0.2041,-0.0547,15.725
4,3,0.06,spawn,0.0198,0.01934,-0.00427,0.01698,0.0024,-0.1,20.77,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2497,0.2141,-0.1858,35.3351
5,3,0.06,spawn,0.0198,0.01934,-0.00427,0.01698,0.0024,-0.1,20.78,0.3458,0.003,-0.135,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.2204,0.2239,-0.1626,1.8665
