attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
0,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0012,0.2371,0.0015,88.9922
1,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0562,0.2171,-0.0006,89.0318
2,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1615,0.2273,-0.0555,80.0338
3,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0837,0.2241,0.0009,81.9719
4,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.148,0.2202,-0.0425,85.0804
5,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0168,0.255,-0.0006,89.0626
6,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1452,0.2175,-0.0375,86.7066
7,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1155,0.2027,-0.0095,82.4798
8,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0339,0.2268,-0.0004,89.2446
9,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1522,0.2216,-0.044,86.7997
10,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1926,0.2084,-0.0854,85.9743
11,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0635,0.2396,0.0007,34.4867
12,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0597,0.2482,-0.0005,89.1239
13,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0696,0.2481,-0.0005,89.1163
14,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0297,0.243,-0.0014,88.6177
15,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0723,0.2162,-0.0004,89.2801
0,1,0.02,spawn,0.02353,0.0231,0.0045,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0085,0.2373,0.0092,86.8964
1,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0486,0.2192,-0.0006,89.0319
2,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1548,0.2288,-0.048,39.7823
3,1,0.02,spawn,0.02353,0.0231,0.0045,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0772,0.2242,0.0019,57.1066
4,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1413,0.2214,-0.035,81.3506
5,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0085,0.2572,-0.0005,89.1047
6,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1392,0.2186,-0.0301,82.3964
7,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1095,0.2032,-0.0025,60.917
8,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0263,0.2286,-0.0002,89.5276
9,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.146,0.2228,-0.0365,82.7137
10,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1864,0.2104,-0.0782,79.725
11,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0565,0.24,0.0015,65.3547
12,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0516,0.2503,-0.0004,89.2482
13,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0614,0.2502,-0.0004,89.2306
14,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0208,0.2465,-0.0018,88.0203
15,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,1.729,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.065,0.218,-0.0002,89.6088
0,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,-0.0131,0.2322,0.015,82.7364
1,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.0443,0.2154,0.0007,88.8062
2,2,0.04,spawn,0.03196,0.03085,0.00835,0.03196,0.0018,-3.83,1.35,0.3464,0.0028,0.177,1.73,0.0,0.0,0,0.0,-0.0,0,0.0,0.0,0.1503,0.2247,-0.0423,16.6169
