attempt,step,time_s,phase,jaw_centre_error_m,lateral_error_m,along_error_m,tip_goal_error_m,jaw_command_m,approach_elevation_deg,jaw_tilt_deg,base_height_m,base_shift_m,base_yaw_deg,base_forward_m,base_left_m,base_roll_deg,base_pitch_deg,arm_speed_rad_s,finger_contact_n,forearm_contact_n,fell,door_deg,handle_deg,claw_engaged,claw_force_n,force_cmd_n,bar_along_m,bar_depth_m,bar_across_m,bar_tilt_deg
0,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0544,0.2202,-0.0007,88.9698
1,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1148,0.2126,-0.0091,32.1097
2,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0367,0.2243,0.0005,82.3985
3,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0446,0.2083,-0.0001,89.722
4,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2223,0.2201,-0.113,86.6891
5,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1933,0.2289,-0.0877,83.4404
6,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2013,0.2294,-0.0891,87.1202
7,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0168,0.231,-0.0003,89.4093
8,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1117,0.2098,-0.0051,86.1742
9,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1288,0.2111,-0.023,60.5096
10,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1602,0.2078,-0.0527,86.4518
11,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.14,0.2185,-0.0324,86.6759
12,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1095,0.2375,-0.0043,88.9784
13,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0252,0.2339,-0.0012,88.6729
14,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1601,0.2066,-0.0544,68.7927
15,0,0.0,spawn,0.00996,0.00984,0.00156,0.00996,0.0006,-2.08,0.26,0.3496,0.0009,0.027,-0.0009,0.0001,-0.17,0.18,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0176,0.2391,-0.0003,89.322
0,1,0.02,spawn,0.02353,0.0231,0.0045,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0467,0.2225,-0.0007,88.8845
1,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1084,0.213,-0.0019,65.0859
2,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0299,0.2249,0.0013,78.7263
3,1,0.02,spawn,0.02353,0.0231,0.0045,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0376,0.2097,0.0002,89.4146
4,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.2158,0.2228,-0.1055,82.3369
5,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1865,0.231,-0.0801,79.663
6,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1947,0.2315,-0.0815,83.7661
7,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0092,0.2327,-0.0,89.9014
8,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1058,0.2102,0.0021,80.4883
9,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1224,0.2119,-0.0158,46.7829
10,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1542,0.2092,-0.0455,81.5056
11,1,0.02,spawn,0.02353,0.0231,0.00451,0.02353,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1339,0.2194,-0.025,82.2917
12,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1022,0.2381,0.0008,86.8722
13,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.0166,0.2371,-0.0016,88.1588
14,1,0.02,spawn,0.02354,0.0231,0.00451,0.02354,0.0012,-3.83,0.72,0.3481,0.0019,0.11,-0.0019,-0.0001,-0.64,-0.02,1.729,0.0,0.0,0,-0.0,-0.0,0,0.0,0.0,0.1537,0.208,-0.0473,71.5885
